gene,fbgn,gene_transcript_start,fc3.count,fc4.count,fc5.count,fc6.count,p,q,logConc,logFC
lack,FBgn0029006,lack-PA-2611,27,23,80,56,4.27101211041415e-06,0.000166603324449695,-16.2932257110941,1.18949597093561
nub,FBgn0085424,nub-PB-1689,22,21,54,68,4.28065589628812e-06,0.000166869291038273,-16.4792951851802,1.25302579442734
snf,FBgn0003449,snf-PA-187,72,84,151,147,4.29203168566052e-06,0.000167202379480039,-14.9061717700392,0.681540476304152
th,FBgn0260635,th-PA-1222,159,172,293,267,4.35719664579405e-06,0.000169629083393082,-13.9085481936942,0.506132506207437
Capr,FBgn0042134,Capr-PA-2256,17,21,50,61,4.40019620445185e-06,0.000171077542753468,-16.6369239031475,1.29526216185464
CG11133,FBgn0037205,CG11133-PA-2302,500,541,471,492,4.39832825168305e-06,0.000171077542753468,-12.6907293163261,-0.364138875382915
RpL17,FBgn0029897,RpL17-PA-428,5849,5873,8046,8262,4.46828174783404e-06,0.00017361038385762,-8.90261876653448,0.224403156192839
Mt2,FBgn0028707,Mt2-PA-660,41,38,19,19,4.510352370295e-06,0.000175129776650153,-16.8825171423293,-1.30828231922372
trol,FBgn0261451,trol-PAA-10929,6,8,30,29,4.51922949470681e-06,0.000175244028560995,-17.8134222042389,1.82294227361345
mst,FBgn0020272,mst-PA-1378,28,23,9,9,4.51922949470681e-06,0.000175244028560995,-17.7371882700809,-1.75495686773784
CG10960,FBgn0036316,CG10960-PA-984,174,155,353,278,4.52408795758864e-06,0.000175317314041516,-13.8270630755103,0.684107575076498
CG9752,FBgn0034614,CG9752-PA-61,13,27,7,4,4.53230209628665e-06,0.000175520457181965,-18.2683786851504,-2.11405367106674
mRpL9,FBgn0038319,mRpL9-PA-438,14,10,2,1,4.53967925407627e-06,0.000175690941931348,-19.5733006237142,-3.25283425075013
dsx,FBgn0000504,dsx-PA-1128,96,96,66,68,4.54346681948857e-06,0.000175722372904621,-15.3328244685382,-0.771235411478639
Chi,FBgn0013764,Chi-PA-1564,114,129,96,84,4.6120861866843e-06,0.000178259545820158,-14.9501999095889,-0.685313752802927
Duox,FBgn0031464,Duox-PB-3618,169,206,329,294,4.69105273718928e-06,0.000181074635655506,-13.7418011930463,0.480083428858313
Rpb5,FBgn0033571,Rpb5-PA-504,401,411,349,384,4.69041704988111e-06,0.000181074635655506,-13.0666012131597,-0.399570785278298
Fhos,FBgn0261259,Fhos-PA-3506,26,39,77,86,4.71764435788383e-06,0.00018198212964592,-15.9729308586925,1.07560137935728
CG30022,FBgn0050022,CG30022-PB-489,365,380,362,306,4.77025630635364e-06,0.000183891512363338,-13.1962421762057,-0.410239261492504
CG31855,FBgn0051855,CG31855-PA-73,30,37,11,18,4.77704840072748e-06,0.000184033218819415,-17.1963600544455,-1.46029074418725
Su(var)3-9,FBgn0003600,Su(var)3-9-PA-1180,270,243,228,210,4.79709823873767e-06,0.000184685155008715,-13.7694413168518,-0.480956517491148
Cpr49Ac,FBgn0033725,Cpr49Ac-PC-154,32,30,11,15,4.80810848984233e-06,0.00018486801509968,-17.3310352955043,-1.50611186704257
Nup98,FBgn0039120,Nup98-PA-5868,28,34,14,12,4.80810848984233e-06,0.00018486801509968,-17.3311368125625,-1.50608399598703
dom,FBgn0020306,dom-PA-4986,7,6,29,28,4.90941996834054e-06,0.000187542383240786,-17.8917346006476,1.88005982423483
CG12310,FBgn0036467,CG12310-PA-304,12,6,0,0,4.90644390930049e-06,0.000187542383240786,-34.1889043187091,-31.6542998502095
pip,FBgn0003089,pip-PG-919,0,0,8,12,4.90644390930049e-06,0.000187542383240786,-34.2391757608452,31.5537569659373
CG8038,FBgn0035831,CG8038-PA-598,0,0,12,8,4.90644390930049e-06,0.000187542383240786,-34.2395129371516,31.5530826133244
kon,FBgn0032683,kon-PB-4813,11,7,0,0,4.90644390930049e-06,0.000187542383240786,-34.1889896505943,-31.6541291864392
CG10903,FBgn0037543,CG10903-PA-289,7,11,0,0,4.90644390930049e-06,0.000187542383240786,-34.1893308876464,-31.653446712335
alpha-Est5,FBgn0261393,alpha-Est5-PA-592,0,0,12,8,4.90644390930049e-06,0.000187542383240786,-34.2395129371516,31.5530826133244
CG4210,FBgn0038302,CG4210-PA-66,12,6,0,0,4.90644390930049e-06,0.000187542383240786,-34.1889043187091,-31.6542998502095
CG11138,FBgn0030400,CG11138-PC-984,0,0,12,8,4.90644390930049e-06,0.000187542383240786,-34.2395129371516,31.5530826133244
pav,FBgn0011692,pav-PA-435,0,0,15,5,4.90644390930049e-06,0.000187542383240786,-34.23976572778,31.5525770320676
cenB1A,FBgn0039056,cenB1A-PA-1959,17,10,40,51,4.94684969436663e-06,0.00018885006415637,-17.0263037802028,1.50080636304473
CG10098,FBgn0037472,CG10098-PA-684,523,483,480,451,4.97362535220853e-06,0.000189749590472049,-12.7396336089295,-0.364852724586613
snf,FBgn0003449,snf-PA-624,223,208,173,142,5.01261489177537e-06,0.000190744207653653,-14.1331296517466,-0.706766499722258
Ravus,FBgn0038128,Ravus-PA-543,1,1,15,15,5.01197964924461e-06,0.000190744207653653,-19.7049599618033,3.65452479991326
PGRP-LE,FBgn0030695,PGRP-LE-PA-672,14,12,3,1,5.01197964924461e-06,0.000190744207653653,-19.3081857109614,-2.95287940242533
CG3349,FBgn0036459,CG3349-PB-1336,0,2,15,15,5.01197964924461e-06,0.000190744207653653,-19.7049748260945,3.65455452849564
CG10590,FBgn0035622,CG10590-PA-1338,4,6,23,30,5.03831240839521e-06,0.000191598618296848,-18.1332525751229,2.15439785348134
CG18815,FBgn0042138,CG18815-PA-183,181,184,318,290,5.06698080903609e-06,0.000192564834375839,-13.7786296585941,0.483567548585156
CG31957,FBgn0051957,CG31957-PA-42,47,51,21,32,5.09918208313181e-06,0.000193539521507454,-16.487021890025,-1.13896133576608
z,FBgn0004050,z-PA-780,23,20,59,55,5.09918208313181e-06,0.000193539521507454,-16.5288160026307,1.1541712229963
debcl,FBgn0029131,debcl-PA-549,210,230,176,191,5.12432718105599e-06,0.00019436898822017,-14.0078380699163,-0.513682968906076
fws,FBgn0024689,fws-PA-2211,105,100,76,70,5.13888154287388e-06,0.000194686526034494,-15.2237162072006,-0.742195642657327
CG3436,FBgn0031229,CG3436-PA-889,346,318,306,282,5.13929178244735e-06,0.000194686526034494,-13.3708896723586,-0.428343446354118
Pros25,FBgn0086134,Pros25-PA-486,480,441,442,403,5.24792904254241e-06,0.000198674482945173,-12.8732950356513,-0.377440039832256
p47,FBgn0033179,p47-PA-780,284,274,249,234,5.28556535504976e-06,0.000199971120268116,-13.6383150751189,-0.460926992519188
LSm-4,FBgn0067622,LSm-4-PB-537,35,52,24,17,5.30086962351303e-06,0.000200293511340648,-16.7589485857934,-1.3371727672683
Lmpt,FBgn0261565,Lmpt-PB-238,16,17,59,43,5.30086962351303e-06,0.000200293511340648,-16.8004884923865,1.37473306735202
CG10166,FBgn0032799,CG10166-PA-265,184,196,319,309,5.35706408091052e-06,0.000202287398011773,-13.7261818356447,0.472475318586586
CG17683,FBgn0262115,CG17683-PA-887,257,250,221,212,5.38257084309301e-06,0.000203120682972132,-13.7862747281474,-0.480201561691819
blos1,FBgn0050077,blos1-PB-312,74,82,31,54,5.3987731189592e-06,0.000203472075851623,-15.8098423267203,-1.1251944585846
CG4022,FBgn0035986,CG4022-PA-441,3,2,19,19,5.39625101773196e-06,0.000203472075851623,-18.8734684049597,2.67362020603705
CG1317,FBgn0035333,CG1317-PB-2674,75,75,179,137,5.45651389568728e-06,0.000205517090338967,-14.8928266396766,0.820772745444074
CG6791,FBgn0037918,CG6791-PB-3312,192,220,165,176,5.46201401118957e-06,0.000205593131595178,-14.1083525659856,-0.524778889654921
cdc2,FBgn0004106,cdc2-PA-178,30,35,18,10,5.47049783475579e-06,0.000205781312818476,-17.243629195087,-1.46744256634065
sec24,FBgn0033460,sec24-PA-2598,195,185,312,317,5.49941204292944e-06,0.000206737286079775,-13.7248121069236,0.474664645067095
CG5355,FBgn0032242,CG5355-PA-1875,92,81,58,59,5.61004046637231e-06,0.000210761940116422,-15.5057901156171,-0.816789667615048
CG7414,FBgn0037135,CG7414-PA-1248,1907,1817,3403,3008,5.64579816188652e-06,0.000211970469068464,-10.4038914889488,0.528943009825253
CG31381,FBgn0043799,CG31381-PA-739,17,16,55,41,5.70133619971677e-06,0.000213919639950999,-16.8438043246465,1.28799987741154
Him,FBgn0030900,Him-PA-126,76,98,172,185,5.73054918737329e-06,0.00021487922152882,-14.6971542467065,0.786420770196059
CycB,FBgn0000405,CycB-PA-687,183,182,318,288,5.74342242102256e-06,0.000215088802372067,-13.7809929047538,0.478740397842969
CaBP1,FBgn0025678,CaBP1-PA-158,341,337,669,556,5.74324588893986e-06,0.000215088802372067,-12.8271267854288,0.598849693642857
CG14650,FBgn0037252,CG14650-PA-2538,11,18,2,3,5.77065693255042e-06,0.000215971772574501,-19.0686716499512,-2.78780056663442
Ama,FBgn0000071,Ama-PB-24,284,340,556,573,5.78245342702043e-06,0.000216276209305239,-12.9455600473693,0.605209927351471
DIP1,FBgn0024807,DIP1-PB-1107,1304,1378,2004,1835,5.79558772263288e-06,0.000216630265647628,-11.0108941853173,0.264708595148514
CG6954,FBgn0039000,CG6954-PA-4864,76,76,181,140,5.80516721482389e-06,0.000216851084992454,-14.8719157588256,0.824373367089393
CG10754,FBgn0036314,CG10754-PA-777,195,229,183,170,5.90360546559792e-06,0.000220388831597523,-14.062878935639,-0.516532650602448
flfl,FBgn0024555,flfl-PB-864,16,21,52,51,5.95017902347365e-06,0.000221889334864642,-16.7104562476776,1.22475053167277
CG3995,FBgn0038472,CG3995-PA-123,21,23,8,6,5.9513140713467e-06,0.000221889334864642,-18.025037307825,-1.90446006957918
so,FBgn0003460,so-PA-1227,0,1,11,13,6.03027982433082e-06,0.000224408485107328,-20.3659178712261,4.33263933696318
CG6498,FBgn0036511,CG6498-PA-4678,1,0,14,10,6.03027982433082e-06,0.000224408485107328,-20.3659468325315,4.3325219268578
Abi,FBgn0020510,Abi-PA-18,0,1,10,13,6.03027982433082e-06,0.000224408485107328,-20.3966109748416,4.27125312973213
CG13090,FBgn0032054,CG13090-PA-1005,88,108,75,63,6.05050648982203e-06,0.000225019403196416,-15.2969644684865,-0.758470137687343
CG8858,FBgn0033698,CG8858-PA-5302,82,92,68,51,6.07677499817177e-06,0.000225854108144763,-15.489674923051,-0.800615293669077
CG8435,FBgn0034084,CG8435-PA-324,48,60,108,113,6.11441266218625e-06,0.000227110052203393,-15.3870205815895,0.780905734353025
CycB,FBgn0000405,CycB-PA-670,1,6,21,21,6.22566347182517e-06,0.000231096941118197,-18.5586036385624,2.33267282021467
glec,FBgn0015229,glec-PA-624,22,18,5,7,6.33744696388917e-06,0.000234950999870287,-18.2049130509757,-1.98937709303357
Pdk1,FBgn0020386,Pdk1-PA-837,6,3,24,22,6.33744696388917e-06,0.000234950999870287,-18.3116506153123,2.10120034375797
CanB2,FBgn0015614,CanB2-PA-24,20,18,4,6,6.35875142093435e-06,0.000235592936899336,-18.3734456980887,-2.17838174994304
Aats-lys,FBgn0027084,Aats-lys-PA-1593,83,63,153,155,6.36805766212331e-06,0.000235789811542118,-14.9291942744577,0.823536333668938
RpLP0-like,FBgn0033485,RpLP0-like-PA-652,165,189,154,132,6.38520965085972e-06,0.000236276761629369,-14.34488158131,-0.560106004431616
Dhfr,FBgn0004087,Dhfr-PA-480,457,482,438,427,6.39949639654813e-06,0.00023665714351117,-12.8426351637987,-0.370672668264927
spag,FBgn0015544,spag-PA-1491,53,74,31,40,6.54008942641242e-06,0.00024170500709954,-16.0894066610669,-1.08934780177188
Gef64C,FBgn0035574,Gef64C-PA-5925,84,91,61,59,6.57511045589096e-06,0.000242847325393376,-15.4793792133782,-0.796641836634808
fy,FBgn0001084,fy-PA-1213,83,71,48,53,6.58818594381808e-06,0.000243178178418755,-15.6957564668491,-0.861059331823982
kune,FBgn0033032,kune-PA-398,2256,2222,3146,3162,6.65417596657498e-06,0.00024546053980886,-10.2820590117632,0.241890679432676
CG7371,FBgn0031710,CG7371-PA-1164,12,16,4,1,6.68841532573689e-06,0.0002465695582443,-19.0938150152247,-2.73779347042373
CG1789,FBgn0030063,CG1789-PA-327,17,20,1,8,6.72735441434077e-06,0.000247541493459276,-18.4684986991927,-2.29109616723142
ssp2,FBgn0036389,ssp2-PA-1071,4,3,16,27,6.72735441434077e-06,0.000247541493459276,-18.541079789626,2.36737493270402
Csp,FBgn0004179,Csp-PA-15,1,6,20,23,6.72735441434077e-06,0.000247541493459276,-18.5416605407122,2.36727035783488
Tal,FBgn0023477,Tal-PA-249,55,71,123,149,6.73412024846391e-06,0.00024763616041954,-15.1257008892427,0.860230074803949
CG42590,FBgn0260967,CG42590-PA-106,794,701,624,581,6.78948923339318e-06,0.000249516898037172,-12.2672047725482,-0.56585520827501
Nca,FBgn0013303,Nca-PA-199,60,71,40,41,6.79775592967711e-06,0.000249665341850044,-15.9718126001394,-0.945793442772929
CG11943,FBgn0031078,CG11943-PA-5985,152,153,118,122,6.82462448602331e-06,0.000250496378431053,-14.5785390673371,-0.598099505796927
CG7791,FBgn0033038,CG7791-PA-1723,209,220,182,176,6.92241026817666e-06,0.000253927767464582,-14.0440901157518,-0.513349041849925
CG13282,FBgn0032612,CG13282-PA-1399,27,30,13,10,6.94680584288951e-06,0.000254664468944363,-17.4802157443029,-1.56171275248105
GalNAc-T1,FBgn0034025,GalNAc-T1-PA-1638,25,25,9,9,6.98331742278877e-06,0.000255368891860718,-17.7515092660424,-1.72631487581491
CycD,FBgn0010315,CycD-PD-1143,42,44,23,22,6.97371964604264e-06,0.000255368891860718,-16.6993533079052,-1.1867836758816
lace,FBgn0002524,lace-PA-1191,7,7,26,32,6.98331742278877e-06,0.000255368891860718,-17.8256883066753,1.79835096588367
CG13698,FBgn0036773,CG13698-PB-718,9,5,33,25,6.98331742278877e-06,0.000255368891860718,-17.8257593417837,1.79809068637149
heph,FBgn0011224,heph-PA-417,26,27,69,62,7.06600758091423e-06,0.000258232843882198,-16.277767600675,1.05306716702796
Gen,FBgn0027914,Gen-PA-1374,204,163,367,323,7.07681938995657e-06,0.000258468026921493,-13.6827630664184,0.65550685814319
Su(z)2,FBgn0008654,Su(z)2-PA-2751,2,0,11,19,7.20268118810531e-06,0.000262902314961139,-19.7045204178609,3.65504007681073
Pep,FBgn0004401,Pep-PB-873,697,712,1327,1133,7.25116928597759e-06,0.000264508681711714,-11.7966017044692,0.549850893123552
CG7943,FBgn0039741,CG7943-PA-360,82,83,150,159,7.2786254501876e-06,0.000265346334467395,-14.8394027712329,0.652930000599289
CG13993,FBgn0031776,CG13993-PA-90,18,13,2,4,7.3599796410898e-06,0.000267981305575513,-18.8885055366386,-2.62188534994058
Aats-trp,FBgn0010803,Aats-trp-PA-288,19,12,4,2,7.3599796410898e-06,0.000267981305575513,-18.8885988667752,-2.6224010773425
SF2,FBgn0040284,SF2-PA-402,266,234,452,463,7.36715309114505e-06,0.000268077219505141,-13.2555939088365,0.618660501920993
CG42724,FBgn0261641,CG42724-PC-2766,185,202,322,314,7.43098663546646e-06,0.00027023350290479,-13.7039017587726,0.464487927810259
CycG,FBgn0039858,CycG-PA-1108,68,90,159,169,7.49028708535713e-06,0.000272054965982178,-14.8279389478275,0.803288006419122
Su(var)3-9,FBgn0003600,Su(var)3-9-PB-429,244,261,433,372,7.48817396808759e-06,0.000272054965982178,-13.3421915325446,0.419940370542454
Sgf29,FBgn0050390,Sgf29-PA-562,288,322,278,259,7.56120718672974e-06,0.000274462061483642,-13.4978569733751,-0.436110269709493
Art1,FBgn0037834,Art1-PA-981,184,215,136,154,7.58148315511631e-06,0.000275029012392419,-14.2482272624455,-0.710641439359015
aop,FBgn0000097,aop-PA-354,7,3,32,20,7.75496385948029e-06,0.000281149573734307,-18.1474647352939,2.12492572842038
CG10254,FBgn0027512,CG10254-PA-3684,0,1,9,15,7.79026086882726e-06,0.000282082910111098,-20.3657021567797,4.3332172948769
CG9140,FBgn0031771,CG9140-PA-1154,1,0,15,9,7.79026086882726e-06,0.000282082910111098,-20.3661125377041,4.33203781054118
CG7694,FBgn0038627,CG7694-PA-99,29,26,10,12,7.80120684071977e-06,0.000282133296753967,-17.5379665264719,-1.57432624269684
Start1,FBgn0035028,Start1-PA-1419,28,27,11,11,7.80120684071977e-06,0.000282133296753967,-17.5379956335648,-1.57432653172714
Pros45,FBgn0020369,Pros45-PA-1191,1938,2235,3808,3313,7.8331003362752e-06,0.000283113365764835,-10.2474331800886,0.518629285790513
CG42518,FBgn0260392,CG42518-PA-169,0,0,10,9,7.92585300781055e-06,0.000283859931434369,-34.2763663929057,31.4793757018163
Nat1,FBgn0031020,Nat1-PA-687,8,9,0,0,7.92585300781055e-06,0.000283859931434369,-34.2304119811572,-31.5712845253133
Art1,FBgn0037834,Art1-PA-1105,0,0,9,10,7.92585300781055e-06,0.000283859931434369,-34.2763517455109,31.4794049966059
Tango5,FBgn0052675,Tango5-PA-811,7,10,0,0,7.92585300781055e-06,0.000283859931434369,-34.2304267347434,-31.5712550181408
CG1246,FBgn0035360,CG1246-PB-486,7,10,0,0,7.92585300781055e-06,0.000283859931434369,-34.2304267347434,-31.5712550181408
Etl1,FBgn0032157,Etl1-PA-1617,8,9,0,0,7.92585300781055e-06,0.000283859931434369,-34.2304119811572,-31.5712845253133
Ptp69D,FBgn0014007,Ptp69D-PA-3217,9,8,0,0,7.92585300781055e-06,0.000283859931434369,-34.2303972272743,-31.5713140330791
eIF-3p66,FBgn0040227,eIF-3p66-PB-247,0,0,9,10,7.92585300781055e-06,0.000283859931434369,-34.2763517455109,31.4794049966059
CG2712,FBgn0024975,CG2712-PA-1158,8,9,0,0,7.92585300781055e-06,0.000283859931434369,-34.2304119811572,-31.5712845253133
Vdup1,FBgn0035103,Vdup1-PA-133,133,158,302,255,7.86262479229503e-06,0.000283859931434369,-14.0062528517118,0.684007920709994
CG15439,FBgn0031606,CG15439-PA-2142,7,10,0,0,7.92585300781055e-06,0.000283859931434369,-34.2304267347434,-31.5712550181408
ferrochelatase,FBgn0024891,ferrochelatase-PA-306,9,8,0,0,7.92585300781055e-06,0.000283859931434369,-34.2303972272743,-31.5713140330791
Khc,FBgn0001308,Khc-PA-2659,0,0,11,8,7.92585300781055e-06,0.000283859931434369,-34.2763810400087,31.4793464076103
PGRP-LF,FBgn0035977,PGRP-LF-PA-792,9,8,0,0,7.92585300781055e-06,0.000283859931434369,-34.2303972272743,-31.5713140330791
vkg,FBgn0016075,vkg-PA-4806,8,9,0,0,7.92585300781055e-06,0.000283859931434369,-34.2304119811572,-31.5712845253133
Itp-r83A,FBgn0010051,Itp-r83A-PA-7049,15,15,2,4,8.11166106810147e-06,0.000290338472339356,-18.9124633132712,-2.57427999366513
Kr-h1,FBgn0028420,Kr-h1-PA-1647,7,12,36,33,8.12012610655751e-06,0.000290465419503982,-17.480229359171,1.6082680509645
MAN1,FBgn0034962,MAN1-PA-1641,92,93,71,59,8.23277443850933e-06,0.000294316702657073,-15.3815810733455,-0.76155571760417
Cht3,FBgn0250907,Cht3-PA-5753,213,227,367,344,8.25754299132101e-06,0.000295023577726217,-13.5309534154827,0.439940007555821
CG2816,FBgn0031564,CG2816-PB-102,41,46,19,27,8.26675443361186e-06,0.000295174113264963,-16.6751155537547,-1.17158068975523
tna,FBgn0026160,tna-PA-3297,91,104,190,164,8.38699819120672e-06,0.000299286609774191,-14.6211207536999,0.607787331977004
Ssrp,FBgn0010278,Ssrp-PA-729,36,31,74,80,8.39251246887468e-06,0.000299302537069324,-15.9918634070519,0.94835702756194
ari-2,FBgn0025186,ari-2-PA-978,44,38,87,91,8.42072077015772e-06,0.000300127294655386,-15.7416604644623,0.865801184793716
dalao,FBgn0030093,dalao-PA-1887,100,99,186,173,8.4288617763233e-06,0.000300236259822739,-14.596178602597,0.598701453762569
cl,FBgn0000318,cl-PA-202,3251,3180,3421,3105,8.44031556308711e-06,0.000300463023824472,-9.99696190508266,-0.23256850831282
CG8001,FBgn0035268,CG8001-PA-1806,318,308,521,455,8.49535241941537e-06,0.000302240074208333,-13.0481307738964,0.387627742372287
CG15083,FBgn0034399,CG15083-PA-90,343,290,206,229,8.50188178376722e-06,0.000302290267541074,-13.6209677411674,-0.794446323142297
CG8677,FBgn0026577,CG8677-PA-7360,76,60,132,131,8.60179458869155e-06,0.000305658715294191,-15.0950594873423,0.698877359226099
CG7903,FBgn0039730,CG7903-PA-144,89,106,272,191,8.68947967910412e-06,0.000308588870047223,-14.429724217596,0.992767691666193
blw,FBgn0011211,blw-PA-882,661,730,1062,981,8.7291907169669e-06,0.000309812827741966,-11.9395400810771,0.302260160113735
CG5273,FBgn0040382,CG5273-PA-597,4,7,41,19,8.83196736730278e-06,0.000313272269536437,-17.977650981979,2.19186653946119
scny,FBgn0260936,scny-PA-1905,160,186,291,284,8.90663498752245e-06,0.000315393271539675,-13.8574791035367,0.480709947416596
cindr,FBgn0027598,cindr-PA-423,5,6,26,26,8.90116986233999e-06,0.000315393271539675,-18.0784724209437,1.98866075672837
RnrS,FBgn0011704,RnrS-PA-1059,85,105,68,54,8.90778517606722e-06,0.000315393271539675,-15.408948419342,-0.891324578138472
bur,FBgn0000239,bur-PB-1405,84,78,167,137,9.02050780890262e-06,0.000319193019879072,-14.864609572367,0.655269728890473
gfzf,FBgn0250732,gfzf-PB-10,1,1,17,12,9.03433371954031e-06,0.0003192996294486,-19.7294513461581,3.60554203120383
CG13847,FBgn0038967,CG13847-PB-2227,1,1,14,15,9.03433371954031e-06,0.0003192996294486,-19.7294076214412,3.60562948063763
CG2202,FBgn0030240,CG2202-PA-2610,401,369,350,348,9.04499974829923e-06,0.000319485403788909,-13.1401866410847,-0.394385009052409
disp,FBgn0029088,disp-PA-2910,28,27,73,60,9.05850906896154e-06,0.000319771326117592,-16.2401447531195,1.02137522916334
CG12582,FBgn0037215,CG12582-PA-1766,115,118,210,200,9.07290196650734e-06,0.000320088079054952,-14.3865747568904,0.562876137036935
ImpE1,FBgn0001253,ImpE1-PA-4426,94,103,171,185,9.14397880586024e-06,0.000322403044965071,-14.6094172562695,0.601641627771658
Elongin-B,FBgn0023212,Elongin-B-PA-273,1529,1551,2232,2140,9.15654415927094e-06,0.000322653451645718,-10.8168981946886,0.252734628284133
CG7974,FBgn0035254,CG7974-PA-699,7,12,37,30,9.21886163199578e-06,0.000323986339347816,-17.5014759093343,1.56577495063794
Lcch3,FBgn0010240,Lcch3-PC-955,28,30,9,15,9.21886163199578e-06,0.000323986339347816,-17.4368966861799,-1.5252861388731
Nnf1a,FBgn0034523,Nnf1a-PA-360,29,29,12,12,9.21886163199578e-06,0.000323986339347816,-17.436926061329,-1.52540272822548
RpS18,FBgn0010411,RpS18-PA-45,3035,3381,2509,2834,9.2217995266294e-06,0.000323986339347816,-10.1423043184085,-0.513194076644433
MED6,FBgn0024330,MED6-PA-600,28,34,12,15,9.21397761251581e-06,0.000323986339347816,-17.3038762917664,-1.45156295439489
cathD,FBgn0029093,cathD-PA-600,164,172,137,134,9.54099392077827e-06,0.000328999481237167,-14.4211670639821,-0.56249560683409
CG14641,FBgn0037220,CG14641-PA-1015,10,7,0,0,9.55946882391851e-06,0.000328999481237167,-34.2302638611197,-31.5715807653883
CG8924,FBgn0030710,CG8924-PB-1228,11,6,0,0,9.55946882391851e-06,0.000328999481237167,-34.2301782882276,-31.5717519111726
nrm,FBgn0262509,nrm-PA-2157,10,7,0,0,9.55946882391851e-06,0.000328999481237167,-34.2302638611197,-31.5715807653883
CG14757,FBgn0033274,CG14757-PA-66,10,7,0,0,9.55946882391851e-06,0.000328999481237167,-34.2302638611197,-31.5715807653883
CG6659,FBgn0030946,CG6659-PA-2154,5,12,0,0,9.55946882391851e-06,0.000328999481237167,-34.2306915882563,-31.5707253111151
armi,FBgn0041164,armi-PB-765,0,0,8,11,9.55946882391851e-06,0.000328999481237167,-34.2762186607862,31.4796711660552
CHKov2,FBgn0039328,CHKov2-PA-1199,12,5,0,0,9.55946882391851e-06,0.000328999481237167,-34.2300927061765,-31.5719230752748
dx,FBgn0000524,dx-PA-220,0,0,14,5,9.55946882391851e-06,0.000328999481237167,-34.2767257918927,31.4786569038424
Nup98,FBgn0039120,Nup98-PA-3355,0,0,8,11,9.55946882391851e-06,0.000328999481237167,-34.2762186607862,31.4796711660552
CG5110,FBgn0032642,CG5110-PA-202,0,0,7,12,9.55946882391851e-06,0.000328999481237167,-34.2761341080312,31.4798402715652
MED27,FBgn0037359,MED27-PA-659,10,7,0,0,9.55946882391851e-06,0.000328999481237167,-34.2302638611197,-31.5715807653883
wapl,FBgn0004655,wapl-PA-4782,10,7,0,0,9.55946882391851e-06,0.000328999481237167,-34.2302638611197,-31.5715807653883
Idh,FBgn0001248,Idh-PA-751,0,0,12,7,9.55946882391851e-06,0.000328999481237167,-34.2765567834986,31.4789949206305
CG42345,FBgn0259247,CG42345-PA-1311,5,12,0,0,9.55946882391851e-06,0.000328999481237167,-34.2306915882563,-31.5707253111151
Rad51C,FBgn0033389,Rad51C-PB-424,10,7,0,0,9.55946882391851e-06,0.000328999481237167,-34.2302638611197,-31.5715807653883
Rpn2,FBgn0028692,Rpn2-PA-1311,0,0,14,5,9.55946882391851e-06,0.000328999481237167,-34.2767257918927,31.4786569038424
CG12224,FBgn0037974,CG12224-PB-483,10,7,0,0,9.55946882391851e-06,0.000328999481237167,-34.2302638611197,-31.5715807653883
pre-mod(mdg4)-T,FBgn0261837,pre-mod(mdg4)-T-PA-328,0,0,8,11,9.55946882391851e-06,0.000328999481237167,-34.2762186607862,31.4796711660552
Pka-C1,FBgn0000273,Pka-C1-PB-163,0,0,7,12,9.55946882391851e-06,0.000328999481237167,-34.2761341080312,31.4798402715652
CG17574,FBgn0033777,CG17574-PA-48,3,14,0,0,9.55946882391851e-06,0.000328999481237167,-34.2308626150588,-31.5703832575101
CG33267,FBgn0053267,CG33267-PB-205,11,6,0,0,9.55946882391851e-06,0.000328999481237167,-34.2301782882276,-31.5717519111726
fra,FBgn0011592,fra-PA-3201,11,6,0,0,9.55946882391851e-06,0.000328999481237167,-34.2301782882276,-31.5717519111726
CG12773,FBgn0024365,CG12773-PA-915,0,0,14,5,9.55946882391851e-06,0.000328999481237167,-34.2767257918927,31.4786569038424
CG1486,FBgn0031174,CG1486-PA-2464,0,0,12,7,9.55946882391851e-06,0.000328999481237167,-34.2765567834986,31.4789949206305
AP-1gamma,FBgn0030089,AP-1gamma-PA-1851,0,0,7,12,9.55946882391851e-06,0.000328999481237167,-34.2761341080312,31.4798402715652
Brd,FBgn0000216,Brd-PA-139,12,5,0,0,9.55946882391851e-06,0.000328999481237167,-34.2300927061765,-31.5719230752748
gbb,FBgn0024234,gbb-PA-1321,11,6,0,0,9.55946882391851e-06,0.000328999481237167,-34.2301782882276,-31.5717519111726
CG8036,FBgn0037607,CG8036-PB-99,0,0,7,12,9.55946882391851e-06,0.000328999481237167,-34.2761341080312,31.4798402715652
Rpd3,FBgn0015805,Rpd3-PA-1090,0,0,5,14,9.55946882391851e-06,0.000328999481237167,-34.2759649760177,31.4801785355923
ref(2)P,FBgn0003231,ref(2)P-PA-1661,12,5,0,0,9.55946882391851e-06,0.000328999481237167,-34.2300927061765,-31.5719230752748
Optix,FBgn0025360,Optix-PA-1249,0,0,13,6,9.55946882391851e-06,0.000328999481237167,-34.2766412921078,31.4788259034121
fax,FBgn0014163,fax-PA-964,18,34,74,62,9.45083028414902e-06,0.000328999481237167,-16.2653305728215,1.13522538946395
CG6697,FBgn0027526,CG6697-PA-654,21,22,5,9,9.46427734739817e-06,0.000328999481237167,-18.0415695590901,-1.87121936009951
